Date,Close,Close.L1,Close.L2,Close.L3,Close.L4
2/10/2003,23.69,23.29,23.71,23.48,23.66
2/11/2003,23.22,23.69,23.29,23.71,23.48
2/12/2003,23.22,23.22,23.69,23.29,23.71
2/13/2003,23.495,23.22,23.22,23.69,23.29
2/14/2003,24.15,23.495,23.22,23.22,23.69
2/18/2003,24.96,24.15,23.495,23.22,23.22
2/19/2003,24.53,24.96,24.15,23.495,23.22
2/20/2003,24.15,24.53,24.96,24.15,23.495
2/21/2003,24.61,24.15,24.53,24.96,24.15
2/24/2003,24.07,24.61,24.15,24.53,24.96
2/25/2003,24.19,24.07,24.61,24.15,24.53
2/26/2003,23.6,24.19,24.07,24.61,24.15
2/27/2003,23.58,23.6,24.19,24.07,24.61
2/28/2003,23.7,23.58,23.6,24.19,24.07
3/3/2003,23.54,23.7,23.58,23.6,24.19
3/4/2003,23.07,23.54,23.7,23.58,23.6
3/5/2003,23.44,23.07,23.54,23.7,23.58
3/6/2003,23.27,23.44,23.07,23.54,23.7
3/7/2003,23.56,23.27,23.44,23.07,23.54
3/10/2003,22.95,23.56,23.27,23.44,23.07
3/11/2003,22.79,22.95,23.56,23.27,23.44
3/12/2003,23.39,22.79,22.95,23.56,23.27
3/13/2003,24.67,23.39,22.79,22.95,23.56
3/14/2003,24.86,24.67,23.39,22.79,22.95
3/17/2003,25.93,24.86,24.67,23.39,22.79
3/18/2003,26.04,25.93,24.86,24.67,23.39
3/19/2003,26.32,26.04,25.93,24.86,24.67
3/20/2003,26.25,26.32,26.04,25.93,24.86
3/21/2003,26.57,26.25,26.32,26.04,25.93
3/24/2003,25.29,26.57,26.25,26.32,26.04
3/25/2003,25.49,25.29,26.57,26.25,26.32
3/26/2003,25.25,25.49,25.29,26.57,26.25
3/27/2003,25.04,25.25,25.49,25.29,26.57
3/28/2003,24.67,25.04,25.25,25.49,25.29
3/31/2003,24.21,24.67,25.04,25.25,25.49
4/1/2003,24.35,24.21,24.67,25.04,25.25
4/2/2003,25.72,24.35,24.21,24.67,25.04
4/3/2003,25.73,25.72,24.35,24.21,24.67
4/4/2003,25.09,25.73,25.72,24.35,24.21
4/7/2003,25.171,25.09,25.73,25.72,24.35
4/8/2003,25.58,25.171,25.09,25.73,25.72
4/9/2003,24.57,25.58,25.171,25.09,25.73
4/10/2003,24.59,24.57,25.58,25.171,25.09
4/11/2003,24.2,24.59,24.57,25.58,25.171
4/14/2003,24.75,24.2,24.59,24.57,25.58
4/15/2003,24.61,24.75,24.2,24.59,24.57
4/16/2003,24.92,24.61,24.75,24.2,24.59
4/17/2003,25.5,24.92,24.61,24.75,24.2
4/21/2003,25.21,25.5,24.92,24.61,24.75
4/22/2003,25.74,25.21,25.5,24.92,24.61
4/23/2003,25.72,25.74,25.21,25.5,24.92
4/24/2003,25.49,25.72,25.74,25.21,25.5
4/25/2003,25.21,25.49,25.72,25.74,25.21
4/28/2003,25.74,25.21,25.49,25.72,25.74
4/29/2003,25.809,25.74,25.21,25.49,25.72
4/30/2003,25.56,25.809,25.74,25.21,25.49
5/1/2003,25.71,25.56,25.809,25.74,25.21
5/2/2003,26.13,25.71,25.56,25.809,25.74
5/5/2003,25.86,26.13,25.71,25.56,25.809
5/6/2003,26.38,25.86,26.13,25.71,25.56
