Date,Close,% Sell.L10,% Sell.L13,% Sell.L14,% Sell.L15
2/10/2003,23.69,0.0,0.0,0.0,0.0
2/11/2003,23.22,0.0,0.0,0.0,0.0
2/12/2003,23.22,0.0,0.0,0.0,0.0
2/13/2003,23.495,0.0,0.0,0.0,0.0
2/14/2003,24.15,0.0,0.0,0.0,0.0
2/18/2003,24.96,0.0,0.0,0.0,0.0
2/19/2003,24.53,0.0,0.0,0.0,0.0
2/20/2003,24.15,0.0,0.0,0.0,0.0
2/21/2003,24.61,0.0,0.0,0.0,0.0
2/24/2003,24.07,0.0,0.0,0.0,0.0
2/25/2003,24.19,0.0,0.0,0.0,0.0
2/26/2003,23.6,0.0,0.0,0.0,0.0
2/27/2003,23.58,0.0,0.0,0.0,0.0
2/28/2003,23.7,0.0,0.0,0.0,0.0
3/3/2003,23.54,0.0,0.0,0.0,0.0
3/4/2003,23.07,0.0,0.0,0.0,0.0
3/5/2003,23.44,0.0,0.0,0.0,0.0
3/6/2003,23.27,0.0,0.0,0.0,0.0
3/7/2003,23.56,0.0,0.0,0.0,0.0
3/10/2003,22.95,0.0,0.0,0.0,0.0
3/11/2003,22.79,0.0,0.0,0.0,0.0
3/12/2003,23.39,0.0,0.0,0.0,0.0
3/13/2003,24.67,0.0,0.0,0.0,0.0
3/14/2003,24.86,0.0,0.0,0.0,0.0
3/17/2003,25.93,0.0,0.0,0.0,0.0
3/18/2003,26.04,0.0,0.0,0.0,0.0
3/19/2003,26.32,0.0,0.0,0.0,0.0
3/20/2003,26.25,0.0,0.0,0.0,0.0
3/21/2003,26.57,0.0,0.0,0.0,0.0
3/24/2003,25.29,0.0,0.0,0.0,0.0
3/25/2003,25.49,0.0,0.0,0.0,0.0
3/26/2003,25.25,0.0,0.0,0.0,0.0
3/27/2003,25.04,0.0,0.0,0.0,0.0
3/28/2003,24.67,0.0,0.0,0.0,0.0
3/31/2003,24.21,0.0,0.0,0.0,0.0
4/1/2003,24.35,0.0,0.0,0.0,0.0
4/2/2003,25.72,0.0,0.0,0.0,0.0
4/3/2003,25.73,0.0,0.0,0.0,0.0
4/4/2003,25.09,0.0,0.0,0.0,0.0
4/7/2003,25.171,0.0,0.0,0.0,0.0
4/8/2003,25.58,0.0,0.0,0.0,0.0
4/9/2003,24.57,0.0,0.0,0.0,0.0
4/10/2003,24.59,0.0,0.0,0.0,0.0
4/11/2003,24.2,0.0,0.0,0.0,0.0
4/14/2003,24.75,0.0,0.0,0.0,0.0
4/15/2003,24.61,0.0,0.0,0.0,0.0
4/16/2003,24.92,0.0,0.0,0.0,0.0
4/17/2003,25.5,0.0,0.0,0.0,0.0
4/21/2003,25.21,0.0,0.0,0.0,0.0
4/22/2003,25.74,0.0,0.0,0.0,0.0
4/23/2003,25.72,0.0,0.0,0.0,0.0
4/24/2003,25.49,0.0,0.0,0.0,0.0
4/25/2003,25.21,0.0,0.0,0.0,0.0
4/28/2003,25.74,0.0,0.0,0.0,0.0
4/29/2003,25.809,0.0,0.0,0.0,0.0
4/30/2003,25.56,0.0,0.0,0.0,0.0
5/1/2003,25.71,0.0,0.0,0.0,0.0
