Date,BUDAPEST,VESZPREM.L2,BUDAPEST.L1,BUDAPEST.L2,BUDAPEST.L3,PEST.L2,PEST.L1,GYOR.L2,BORSOD.L1,SOMOGY.L2,GYOR.L1,TOLNA.L2,BACS.L1,VESZPREM.L3,CSONGRAD.L1,GYOR.L3,VESZPREM.L4,SOMOGY.L3,JASZ.L2,VESZPREM.L1,CSONGRAD.L2,BACS.L2,JASZ.L1,BARANYA.L1,KOMAROM.L1,PEST.L3,FEJER.L1,JASZ.L3,SOMOGY.L1
08/09/2014,114,59.0,113.0,129.0,132.0,144.0,125.0,91.0,84.0,50.0,111.0,25.0,62.0,108.0,66.0,128.0,63.0,41.0,91.0,87.0,41.0,84.0,124.0,74.0,63.0,121.0,83.0,138.0,55.0
01/09/2014,98,87.0,114.0,113.0,129.0,125.0,138.0,111.0,111.0,55.0,119.0,13.0,120.0,59.0,48.0,91.0,108.0,50.0,124.0,64.0,66.0,62.0,141.0,50.0,59.0,144.0,77.0,91.0,57.0
25/08/2014,140,64.0,98.0,114.0,113.0,138.0,83.0,119.0,48.0,57.0,131.0,6.0,81.0,87.0,40.0,111.0,59.0,55.0,141.0,39.0,48.0,120.0,97.0,66.0,64.0,125.0,59.0,124.0,42.0
18/08/2014,120,39.0,140.0,98.0,114.0,83.0,159.0,131.0,129.0,42.0,146.0,2.0,103.0,64.0,51.0,119.0,87.0,57.0,97.0,76.0,40.0,81.0,224.0,81.0,124.0,138.0,89.0,141.0,66.0
11/08/2014,173,76.0,120.0,140.0,98.0,159.0,153.0,146.0,135.0,66.0,123.0,15.0,86.0,39.0,25.0,131.0,64.0,42.0,224.0,44.0,51.0,103.0,97.0,46.0,83.0,83.0,93.0,97.0,42.0
04/08/2014,135,44.0,173.0,120.0,140.0,153.0,137.0,123.0,84.0,42.0,122.0,28.0,125.0,76.0,37.0,146.0,39.0,66.0,97.0,141.0,25.0,86.0,174.0,99.0,105.0,159.0,84.0,224.0,54.0
28/07/2014,143,141.0,135.0,173.0,120.0,137.0,165.0,122.0,93.0,54.0,123.0,28.0,145.0,44.0,27.0,123.0,76.0,42.0,174.0,98.0,37.0,125.0,99.0,62.0,74.0,153.0,75.0,97.0,42.0
21/07/2014,139,98.0,143.0,135.0,173.0,165.0,145.0,123.0,104.0,42.0,128.0,33.0,129.0,141.0,48.0,122.0,44.0,54.0,99.0,87.0,27.0,145.0,163.0,98.0,146.0,137.0,73.0,174.0,23.0
14/07/2014,155,87.0,139.0,143.0,135.0,145.0,66.0,128.0,61.0,23.0,79.0,46.0,94.0,98.0,30.0,123.0,141.0,42.0,163.0,69.0,48.0,129.0,99.0,30.0,82.0,165.0,56.0,99.0,13.0
07/07/2014,98,69.0,155.0,139.0,143.0,66.0,117.0,79.0,147.0,13.0,93.0,23.0,94.0,87.0,24.0,128.0,98.0,23.0,99.0,66.0,30.0,94.0,123.0,56.0,83.0,145.0,77.0,163.0,36.0
30/06/2014,87,66.0,98.0,155.0,139.0,117.0,89.0,93.0,85.0,36.0,62.0,21.0,153.0,69.0,13.0,79.0,87.0,13.0,123.0,49.0,24.0,94.0,82.0,40.0,81.0,66.0,31.0,99.0,12.0
23/06/2014,110,49.0,87.0,98.0,155.0,89.0,91.0,62.0,69.0,12.0,66.0,22.0,38.0,66.0,32.0,93.0,69.0,36.0,82.0,51.0,13.0,153.0,84.0,18.0,72.0,117.0,33.0,123.0,11.0
16/06/2014,70,51.0,110.0,87.0,98.0,91.0,31.0,66.0,36.0,11.0,41.0,12.0,67.0,49.0,20.0,62.0,66.0,12.0,84.0,39.0,32.0,38.0,58.0,15.0,43.0,89.0,24.0,82.0,11.0
09/06/2014,43,39.0,70.0,110.0,87.0,31.0,25.0,41.0,29.0,11.0,35.0,8.0,11.0,51.0,8.0,66.0,49.0,11.0,58.0,24.0,20.0,67.0,25.0,12.0,33.0,91.0,13.0,84.0,6.0
02/06/2014,37,24.0,43.0,70.0,110.0,25.0,23.0,35.0,17.0,6.0,16.0,11.0,7.0,39.0,6.0,41.0,51.0,11.0,25.0,8.0,8.0,11.0,26.0,12.0,20.0,31.0,13.0,58.0,11.0
26/05/2014,30,8.0,37.0,43.0,70.0,23.0,19.0,16.0,6.0,11.0,9.0,8.0,21.0,24.0,6.0,35.0,39.0,6.0,26.0,17.0,6.0,7.0,18.0,4.0,17.0,25.0,9.0,25.0,5.0
19/05/2014,21,17.0,30.0,37.0,43.0,19.0,20.0,9.0,1.0,5.0,1.0,4.0,6.0,8.0,6.0,16.0,24.0,11.0,18.0,4.0,6.0,21.0,9.0,4.0,4.0,23.0,1.0,26.0,5.0
12/05/2014,22,4.0,21.0,30.0,37.0,20.0,7.0,1.0,4.0,5.0,12.0,3.0,1.0,17.0,3.0,9.0,8.0,5.0,9.0,4.0,6.0,6.0,2.0,1.0,4.0,19.0,2.0,18.0,2.0
05/05/2014,15,4.0,22.0,21.0,30.0,7.0,22.0,12.0,5.0,2.0,8.0,2.0,0.0,4.0,0.0,1.0,17.0,5.0,2.0,1.0,3.0,1.0,6.0,0.0,3.0,20.0,4.0,9.0,4.0
28/04/2014,11,1.0,15.0,22.0,21.0,22.0,13.0,8.0,2.0,4.0,7.0,2.0,2.0,4.0,3.0,12.0,4.0,2.0,6.0,0.0,0.0,0.0,5.0,1.0,5.0,7.0,1.0,2.0,2.0
21/04/2014,7,0.0,11.0,15.0,22.0,13.0,9.0,7.0,19.0,2.0,6.0,1.0,9.0,1.0,3.0,8.0,4.0,4.0,5.0,1.0,3.0,2.0,4.0,3.0,1.0,22.0,1.0,6.0,2.0
14/04/2014,12,1.0,7.0,11.0,15.0,9.0,8.0,6.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,7.0,1.0,2.0,4.0,2.0,3.0,9.0,7.0,1.0,4.0,13.0,2.0,5.0,3.0
07/04/2014,5,2.0,12.0,7.0,11.0,8.0,18.0,2.0,19.0,3.0,1.0,2.0,6.0,1.0,3.0,6.0,0.0,2.0,7.0,4.0,1.0,1.0,5.0,3.0,4.0,9.0,0.0,4.0,3.0
31/03/2014,17,4.0,5.0,12.0,7.0,18.0,15.0,1.0,28.0,3.0,2.0,6.0,3.0,2.0,1.0,2.0,1.0,3.0,5.0,5.0,3.0,6.0,9.0,2.0,7.0,8.0,4.0,7.0,6.0
24/03/2014,11,5.0,17.0,5.0,12.0,15.0,27.0,2.0,34.0,6.0,1.0,5.0,6.0,4.0,1.0,1.0,2.0,3.0,9.0,20.0,1.0,3.0,8.0,4.0,21.0,18.0,10.0,5.0,6.0
17/03/2014,27,20.0,11.0,17.0,5.0,27.0,51.0,1.0,60.0,6.0,5.0,1.0,5.0,5.0,0.0,2.0,4.0,6.0,8.0,25.0,1.0,6.0,12.0,3.0,9.0,15.0,16.0,9.0,5.0
