Date,BUDAPEST,BUDAPEST.L1,BUDAPEST.L2,BUDAPEST.L3,PEST.L2,PEST.L1,BORSOD.L1
08/09/2014,114,113.0,129.0,132.0,144.0,125.0,84.0
01/09/2014,98,114.0,113.0,129.0,125.0,138.0,111.0
25/08/2014,140,98.0,114.0,113.0,138.0,83.0,48.0
18/08/2014,120,140.0,98.0,114.0,83.0,159.0,129.0
11/08/2014,173,120.0,140.0,98.0,159.0,153.0,135.0
04/08/2014,135,173.0,120.0,140.0,153.0,137.0,84.0
28/07/2014,143,135.0,173.0,120.0,137.0,165.0,93.0
21/07/2014,139,143.0,135.0,173.0,165.0,145.0,104.0
14/07/2014,155,139.0,143.0,135.0,145.0,66.0,61.0
07/07/2014,98,155.0,139.0,143.0,66.0,117.0,147.0
30/06/2014,87,98.0,155.0,139.0,117.0,89.0,85.0
23/06/2014,110,87.0,98.0,155.0,89.0,91.0,69.0
16/06/2014,70,110.0,87.0,98.0,91.0,31.0,36.0
09/06/2014,43,70.0,110.0,87.0,31.0,25.0,29.0
02/06/2014,37,43.0,70.0,110.0,25.0,23.0,17.0
26/05/2014,30,37.0,43.0,70.0,23.0,19.0,6.0
19/05/2014,21,30.0,37.0,43.0,19.0,20.0,1.0
12/05/2014,22,21.0,30.0,37.0,20.0,7.0,4.0
05/05/2014,15,22.0,21.0,30.0,7.0,22.0,5.0
28/04/2014,11,15.0,22.0,21.0,22.0,13.0,2.0
21/04/2014,7,11.0,15.0,22.0,13.0,9.0,19.0
14/04/2014,12,7.0,11.0,15.0,9.0,8.0,1.0
07/04/2014,5,12.0,7.0,11.0,8.0,18.0,19.0
31/03/2014,17,5.0,12.0,7.0,18.0,15.0,28.0
24/03/2014,11,17.0,5.0,12.0,15.0,27.0,34.0
17/03/2014,27,11.0,17.0,5.0,27.0,51.0,60.0
10/03/2014,23,27.0,11.0,17.0,51.0,79.0,46.0
03/03/2014,30,23.0,27.0,11.0,79.0,77.0,60.0
24/02/2014,48,30.0,23.0,27.0,77.0,70.0,12.0
17/02/2014,37,48.0,30.0,23.0,70.0,67.0,100.0
10/02/2014,32,37.0,48.0,30.0,67.0,48.0,51.0
03/02/2014,49,32.0,37.0,48.0,48.0,31.0,45.0
