Date,BUDAPEST,BUDAPEST.L2,BARANYA.L3,CSONGRAD.L3,CSONGRAD.L8,GYOR.L1,GYOR.L9,GYOR.L12,HAJDU.L8,HEVES.L5,HEVES.L7,JASZ.L1,KOMAROM.L10,KOMAROM.L11,NOGRAD.L2,NOGRAD.L5,NOGRAD.L9,SOMOGY.L5,SOMOGY.L10,SOMOGY.L11,TOLNA.L3,TOLNA.L4,TOLNA.L7,ZALA.L1,ZALA.L3,ZALA.L9,ZALA.L10,ZALA.L14,ZALA.L15
08/09/2014,114,129.0,83.0,54.0,65.0,111.0,175.0,131.0,194.0,21.0,34.0,124.0,56.0,97.0,26.0,10.0,21.0,55.0,104.0,59.0,8.0,40.0,31.0,22.0,38.0,54.0,70.0,44.0,26.0
01/09/2014,98,113.0,53.0,41.0,64.0,119.0,105.0,181.0,119.0,41.0,57.0,141.0,70.0,56.0,7.0,25.0,12.0,49.0,70.0,104.0,25.0,8.0,26.0,23.0,30.0,42.0,54.0,31.0,44.0
25/08/2014,140,114.0,74.0,66.0,81.0,131.0,154.0,118.0,117.0,42.0,21.0,97.0,46.0,70.0,26.0,6.0,6.0,41.0,116.0,70.0,13.0,25.0,23.0,32.0,22.0,54.0,42.0,60.0,31.0
18/08/2014,120,98.0,50.0,48.0,48.0,146.0,107.0,175.0,171.0,35.0,41.0,224.0,73.0,46.0,27.0,26.0,9.0,50.0,68.0,116.0,6.0,13.0,40.0,47.0,23.0,43.0,54.0,60.0,60.0
11/08/2014,173,140.0,66.0,40.0,48.0,123.0,148.0,105.0,76.0,70.0,42.0,97.0,91.0,73.0,22.0,7.0,10.0,55.0,62.0,68.0,2.0,6.0,8.0,21.0,32.0,36.0,43.0,70.0,60.0
04/08/2014,135,120.0,81.0,51.0,54.0,122.0,92.0,154.0,207.0,50.0,35.0,174.0,82.0,91.0,52.0,26.0,25.0,57.0,55.0,62.0,15.0,2.0,25.0,43.0,47.0,36.0,36.0,54.0,70.0
28/07/2014,143,173.0,46.0,25.0,41.0,123.0,128.0,107.0,123.0,51.0,70.0,99.0,72.0,82.0,44.0,27.0,6.0,42.0,49.0,55.0,28.0,15.0,13.0,34.0,21.0,38.0,36.0,42.0,54.0
21/07/2014,139,135.0,99.0,37.0,66.0,128.0,91.0,148.0,134.0,104.0,50.0,163.0,66.0,72.0,55.0,22.0,26.0,66.0,41.0,49.0,28.0,28.0,6.0,37.0,43.0,30.0,38.0,54.0,42.0
14/07/2014,155,143.0,62.0,27.0,48.0,79.0,111.0,92.0,157.0,96.0,51.0,99.0,51.0,66.0,39.0,52.0,7.0,42.0,50.0,41.0,33.0,28.0,2.0,47.0,34.0,22.0,30.0,43.0,54.0
07/07/2014,98,139.0,98.0,48.0,40.0,93.0,119.0,128.0,111.0,104.0,104.0,123.0,63.0,51.0,29.0,44.0,26.0,54.0,55.0,50.0,46.0,33.0,15.0,70.0,37.0,23.0,22.0,36.0,43.0
