Date,BUDAPEST,GYOR.L1,NOGRAD.L4,TOLNA.L2,TOLNA.L3,TOLNA.L4,TOLNA.L5
08/09/2014,114,111.0,25.0,25.0,8.0,40.0,23.0
01/09/2014,98,119.0,6.0,13.0,25.0,8.0,40.0
25/08/2014,140,131.0,26.0,6.0,13.0,25.0,8.0
18/08/2014,120,146.0,7.0,2.0,6.0,13.0,25.0
11/08/2014,173,123.0,26.0,15.0,2.0,6.0,13.0
04/08/2014,135,122.0,27.0,28.0,15.0,2.0,6.0
28/07/2014,143,123.0,22.0,28.0,28.0,15.0,2.0
21/07/2014,139,128.0,52.0,33.0,28.0,28.0,15.0
14/07/2014,155,79.0,44.0,46.0,33.0,28.0,28.0
07/07/2014,98,93.0,55.0,23.0,46.0,33.0,28.0
30/06/2014,87,62.0,39.0,21.0,23.0,46.0,33.0
23/06/2014,110,66.0,29.0,22.0,21.0,23.0,46.0
16/06/2014,70,41.0,30.0,12.0,22.0,21.0,23.0
09/06/2014,43,35.0,10.0,8.0,12.0,22.0,21.0
02/06/2014,37,16.0,10.0,11.0,8.0,12.0,22.0
26/05/2014,30,9.0,12.0,8.0,11.0,8.0,12.0
19/05/2014,21,1.0,7.0,4.0,8.0,11.0,8.0
12/05/2014,22,12.0,2.0,3.0,4.0,8.0,11.0
05/05/2014,15,8.0,2.0,2.0,3.0,4.0,8.0
28/04/2014,11,7.0,5.0,2.0,2.0,3.0,4.0
21/04/2014,7,6.0,2.0,1.0,2.0,2.0,3.0
14/04/2014,12,2.0,0.0,2.0,1.0,2.0,2.0
07/04/2014,5,1.0,0.0,2.0,2.0,1.0,2.0
31/03/2014,17,2.0,3.0,6.0,2.0,2.0,1.0
24/03/2014,11,1.0,6.0,5.0,6.0,2.0,2.0
17/03/2014,27,5.0,4.0,1.0,5.0,6.0,2.0
10/03/2014,23,6.0,0.0,3.0,1.0,5.0,6.0
03/03/2014,30,8.0,4.0,5.0,3.0,1.0,5.0
24/02/2014,48,18.0,8.0,10.0,5.0,3.0,1.0
17/02/2014,37,20.0,15.0,7.0,10.0,5.0,3.0
10/02/2014,32,19.0,15.0,25.0,7.0,10.0,5.0
03/02/2014,49,27.0,13.0,16.0,25.0,7.0,10.0
27/01/2014,67,27.0,26.0,22.0,16.0,25.0,7.0
20/01/2014,106,34.0,10.0,10.0,22.0,16.0,25.0
13/01/2014,83,38.0,21.0,32.0,10.0,22.0,16.0
06/01/2014,114,25.0,39.0,35.0,32.0,10.0,22.0
30/12/2013,129,35.0,17.0,77.0,35.0,32.0,10.0
23/12/2013,189,47.0,28.0,57.0,77.0,35.0,32.0
16/12/2013,79,31.0,7.0,71.0,57.0,77.0,35.0
09/12/2013,163,28.0,44.0,53.0,71.0,57.0,77.0
02/12/2013,110,22.0,51.0,37.0,53.0,71.0,57.0
25/11/2013,158,35.0,48.0,53.0,37.0,53.0,71.0
18/11/2013,182,42.0,23.0,51.0,53.0,37.0,53.0
11/11/2013,136,59.0,53.0,48.0,51.0,53.0,37.0
04/11/2013,207,60.0,39.0,93.0,48.0,51.0,53.0
28/10/2013,251,82.0,33.0,66.0,93.0,48.0,51.0
21/10/2013,141,78.0,23.0,55.0,66.0,93.0,48.0
14/10/2013,193,33.0,24.0,66.0,55.0,66.0,93.0
07/10/2013,169,87.0,45.0,47.0,66.0,55.0,66.0
30/09/2013,141,49.0,39.0,96.0,47.0,66.0,55.0
23/09/2013,193,59.0,47.0,85.0,96.0,47.0,66.0
16/09/2013,359,52.0,52.0,73.0,85.0,96.0,47.0
09/09/2013,268,71.0,49.0,86.0,73.0,85.0,96.0
02/09/2013,168,76.0,53.0,58.0,86.0,73.0,85.0
26/08/2013,338,65.0,37.0,82.0,58.0,86.0,73.0
19/08/2013,186,68.0,40.0,58.0,82.0,58.0,86.0
12/08/2013,266,54.0,37.0,85.0,58.0,82.0,58.0
05/08/2013,240,69.0,32.0,62.0,85.0,58.0,82.0
29/07/2013,162,51.0,50.0,92.0,62.0,85.0,58.0
22/07/2013,264,85.0,22.0,58.0,92.0,62.0,85.0
15/07/2013,133,70.0,58.0,51.0,58.0,92.0,62.0
08/07/2013,201,66.0,31.0,25.0,51.0,58.0,92.0
01/07/2013,236,63.0,30.0,118.0,25.0,51.0,58.0
24/06/2013,111,118.0,57.0,84.0,118.0,25.0,51.0
17/06/2013,76,24.0,50.0,26.0,84.0,118.0,25.0
10/06/2013,52,29.0,27.0,11.0,26.0,84.0,118.0
03/06/2013,30,23.0,14.0,23.0,11.0,26.0,84.0
27/05/2013,30,12.0,5.0,9.0,23.0,11.0,26.0
20/05/2013,74,4.0,7.0,5.0,9.0,23.0,11.0
13/05/2013,45,2.0,4.0,5.0,5.0,9.0,23.0
06/05/2013,41,2.0,5.0,0.0,5.0,5.0,9.0
29/04/2013,20,2.0,3.0,0.0,0.0,5.0,5.0
22/04/2013,15,1.0,1.0,0.0,0.0,0.0,5.0
15/04/2013,11,1.0,0.0,1.0,0.0,0.0,0.0
08/04/2013,10,3.0,2.0,0.0,1.0,0.0,0.0
01/04/2013,9,7.0,2.0,1.0,0.0,1.0,0.0
25/03/2013,35,5.0,2.0,3.0,1.0,0.0,1.0
18/03/2013,20,9.0,2.0,2.0,3.0,1.0,0.0
11/03/2013,19,7.0,9.0,5.0,2.0,3.0,1.0
04/03/2013,51,8.0,12.0,2.0,5.0,2.0,3.0
25/02/2013,53,11.0,19.0,0.0,2.0,5.0,2.0
18/02/2013,77,9.0,4.0,1.0,0.0,2.0,5.0
11/02/2013,62,12.0,17.0,1.0,1.0,0.0,2.0
04/02/2013,93,13.0,7.0,4.0,1.0,1.0,0.0
28/01/2013,78,31.0,15.0,8.0,4.0,1.0,1.0
21/01/2013,82,31.0,18.0,10.0,8.0,4.0,1.0
14/01/2013,84,35.0,62.0,7.0,10.0,8.0,4.0
07/01/2013,58,41.0,41.0,11.0,7.0,10.0,8.0
31/12/2012,114,35.0,59.0,18.0,11.0,7.0,10.0
24/12/2012,145,65.0,8.0,13.0,18.0,11.0,7.0
17/12/2012,93,59.0,46.0,17.0,13.0,18.0,11.0
10/12/2012,129,56.0,1.0,17.0,17.0,13.0,18.0
03/12/2012,114,67.0,30.0,12.0,17.0,17.0,13.0
26/11/2012,86,66.0,106.0,36.0,12.0,17.0,17.0
19/11/2012,127,58.0,56.0,14.0,36.0,12.0,17.0
12/11/2012,106,74.0,64.0,37.0,14.0,36.0,12.0
05/11/2012,211,87.0,46.0,29.0,37.0,14.0,36.0
29/10/2012,229,71.0,36.0,39.0,29.0,37.0,14.0
22/10/2012,145,116.0,60.0,23.0,39.0,29.0,37.0
15/10/2012,210,63.0,96.0,36.0,23.0,39.0,29.0
08/10/2012,267,128.0,38.0,28.0,36.0,23.0,39.0
01/10/2012,166,107.0,112.0,6.0,28.0,36.0,23.0
24/09/2012,168,90.0,47.0,38.0,6.0,28.0,36.0
17/09/2012,350,92.0,108.0,21.0,38.0,6.0,28.0
10/09/2012,224,106.0,77.0,12.0,21.0,38.0,6.0
03/09/2012,136,94.0,30.0,73.0,12.0,21.0,38.0
27/08/2012,278,60.0,43.0,59.0,73.0,12.0,21.0
20/08/2012,161,110.0,71.0,10.0,59.0,73.0,12.0
13/08/2012,385,123.0,106.0,79.0,10.0,59.0,73.0
06/08/2012,230,108.0,76.0,35.0,79.0,10.0,59.0
30/07/2012,284,113.0,107.0,73.0,35.0,79.0,10.0
23/07/2012,210,56.0,88.0,56.0,73.0,35.0,79.0
16/07/2012,125,57.0,73.0,51.0,56.0,73.0,35.0
09/07/2012,104,61.0,68.0,22.0,51.0,56.0,73.0
02/07/2012,140,49.0,100.0,20.0,22.0,51.0,56.0
25/06/2012,99,24.0,59.0,13.0,20.0,22.0,51.0
18/06/2012,35,27.0,25.0,11.0,13.0,20.0,22.0
11/06/2012,14,7.0,21.0,11.0,11.0,13.0,20.0
04/06/2012,34,5.0,18.0,10.0,11.0,11.0,13.0
28/05/2012,7,4.0,11.0,4.0,10.0,11.0,11.0
21/05/2012,7,33.0,6.0,5.0,4.0,10.0,11.0
14/05/2012,4,7.0,8.0,2.0,5.0,4.0,10.0
07/05/2012,4,4.0,3.0,0.0,2.0,5.0,4.0
30/04/2012,10,6.0,1.0,0.0,0.0,2.0,5.0
23/04/2012,6,2.0,1.0,4.0,0.0,0.0,2.0
16/04/2012,6,3.0,0.0,4.0,4.0,0.0,0.0
09/04/2012,12,3.0,0.0,0.0,4.0,4.0,0.0
02/04/2012,20,5.0,0.0,4.0,0.0,4.0,4.0
26/03/2012,14,4.0,4.0,7.0,4.0,0.0,4.0
19/03/2012,33,13.0,3.0,13.0,7.0,4.0,0.0
12/03/2012,20,22.0,2.0,8.0,13.0,7.0,4.0
05/03/2012,25,12.0,0.0,8.0,8.0,13.0,7.0
27/02/2012,93,6.0,7.0,13.0,8.0,8.0,13.0
20/02/2012,72,30.0,12.0,8.0,13.0,8.0,8.0
13/02/2012,54,22.0,9.0,19.0,8.0,13.0,8.0
06/02/2012,175,32.0,19.0,38.0,19.0,8.0,13.0
30/01/2012,126,27.0,29.0,14.0,38.0,19.0,8.0
