Date,BUDAPEST,BUDAPEST.L3,BUDAPEST.L2,GYOR.L3,GYOR.L1,BUDAPEST.L1,PEST.L1
15/09/2014,113,116.0,132.0,92.0,91.0,129.0,144.0
08/09/2014,114,132.0,129.0,128.0,111.0,113.0,125.0
01/09/2014,98,129.0,113.0,91.0,119.0,114.0,138.0
25/08/2014,140,113.0,114.0,111.0,131.0,98.0,83.0
18/08/2014,120,114.0,98.0,119.0,146.0,140.0,159.0
11/08/2014,173,98.0,140.0,131.0,123.0,120.0,153.0
04/08/2014,135,140.0,120.0,146.0,122.0,173.0,137.0
28/07/2014,143,120.0,173.0,123.0,123.0,135.0,165.0
21/07/2014,139,173.0,135.0,122.0,128.0,143.0,145.0
14/07/2014,155,135.0,143.0,123.0,79.0,139.0,66.0
07/07/2014,98,143.0,139.0,128.0,93.0,155.0,117.0
30/06/2014,87,139.0,155.0,79.0,62.0,98.0,89.0
23/06/2014,110,155.0,98.0,93.0,66.0,87.0,91.0
16/06/2014,70,98.0,87.0,62.0,41.0,110.0,31.0
09/06/2014,43,87.0,110.0,66.0,35.0,70.0,25.0
02/06/2014,37,110.0,70.0,41.0,16.0,43.0,23.0
26/05/2014,30,70.0,43.0,35.0,9.0,37.0,19.0
19/05/2014,21,43.0,37.0,16.0,1.0,30.0,20.0
12/05/2014,22,37.0,30.0,9.0,12.0,21.0,7.0
05/05/2014,15,30.0,21.0,1.0,8.0,22.0,22.0
28/04/2014,11,21.0,22.0,12.0,7.0,15.0,13.0
21/04/2014,7,22.0,15.0,8.0,6.0,11.0,9.0
14/04/2014,12,15.0,11.0,7.0,2.0,7.0,8.0
07/04/2014,5,11.0,7.0,6.0,1.0,12.0,18.0
31/03/2014,17,7.0,12.0,2.0,2.0,5.0,15.0
24/03/2014,11,12.0,5.0,1.0,1.0,17.0,27.0
17/03/2014,27,5.0,17.0,2.0,5.0,11.0,51.0
10/03/2014,23,17.0,11.0,1.0,6.0,27.0,79.0
03/03/2014,30,11.0,27.0,5.0,8.0,23.0,77.0
24/02/2014,48,27.0,23.0,6.0,18.0,30.0,70.0
17/02/2014,37,23.0,30.0,8.0,20.0,48.0,67.0
10/02/2014,32,30.0,48.0,18.0,19.0,37.0,48.0
03/02/2014,49,48.0,37.0,20.0,27.0,32.0,31.0
27/01/2014,67,37.0,32.0,19.0,27.0,49.0,81.0
20/01/2014,106,32.0,49.0,27.0,34.0,67.0,44.0
13/01/2014,83,49.0,67.0,27.0,38.0,106.0,133.0
06/01/2014,114,67.0,106.0,34.0,25.0,83.0,85.0
30/12/2013,129,106.0,83.0,38.0,35.0,114.0,163.0
23/12/2013,189,83.0,114.0,25.0,47.0,129.0,173.0
16/12/2013,79,114.0,129.0,35.0,31.0,189.0,102.0
09/12/2013,163,129.0,189.0,47.0,28.0,79.0,114.0
02/12/2013,110,189.0,79.0,31.0,22.0,163.0,121.0
25/11/2013,158,79.0,163.0,28.0,35.0,110.0,105.0
18/11/2013,182,163.0,110.0,22.0,42.0,158.0,104.0
11/11/2013,136,110.0,158.0,35.0,59.0,182.0,119.0
04/11/2013,207,158.0,182.0,42.0,60.0,136.0,170.0
28/10/2013,251,182.0,136.0,59.0,82.0,207.0,140.0
21/10/2013,141,136.0,207.0,60.0,78.0,251.0,181.0
14/10/2013,193,207.0,251.0,82.0,33.0,141.0,149.0
07/10/2013,169,251.0,141.0,78.0,87.0,193.0,160.0
30/09/2013,141,141.0,193.0,33.0,49.0,169.0,161.0
23/09/2013,193,193.0,169.0,87.0,59.0,141.0,168.0
16/09/2013,359,169.0,141.0,49.0,52.0,193.0,153.0
09/09/2013,268,141.0,193.0,59.0,71.0,359.0,157.0
02/09/2013,168,193.0,359.0,52.0,76.0,268.0,221.0
26/08/2013,338,359.0,268.0,71.0,65.0,168.0,165.0
19/08/2013,186,268.0,168.0,76.0,68.0,338.0,121.0
12/08/2013,266,168.0,338.0,65.0,54.0,186.0,126.0
05/08/2013,240,338.0,186.0,68.0,69.0,266.0,143.0
29/07/2013,162,186.0,266.0,54.0,51.0,240.0,151.0
22/07/2013,264,266.0,240.0,69.0,85.0,162.0,105.0
15/07/2013,133,240.0,162.0,51.0,70.0,264.0,145.0
08/07/2013,201,162.0,264.0,85.0,66.0,133.0,134.0
01/07/2013,236,264.0,133.0,70.0,63.0,201.0,130.0
24/06/2013,111,133.0,201.0,66.0,118.0,236.0,89.0
17/06/2013,76,201.0,236.0,63.0,24.0,111.0,49.0
10/06/2013,52,236.0,111.0,118.0,29.0,76.0,24.0
03/06/2013,30,111.0,76.0,24.0,23.0,52.0,29.0
27/05/2013,30,76.0,52.0,29.0,12.0,30.0,15.0
20/05/2013,74,52.0,30.0,23.0,4.0,30.0,4.0
13/05/2013,45,30.0,30.0,12.0,2.0,74.0,6.0
06/05/2013,41,30.0,74.0,4.0,2.0,45.0,4.0
29/04/2013,20,74.0,45.0,2.0,2.0,41.0,17.0
22/04/2013,15,45.0,41.0,2.0,1.0,20.0,1.0
15/04/2013,11,41.0,20.0,2.0,1.0,15.0,4.0
08/04/2013,10,20.0,15.0,1.0,3.0,11.0,7.0
01/04/2013,9,15.0,11.0,1.0,7.0,10.0,12.0
25/03/2013,35,11.0,10.0,3.0,5.0,9.0,8.0
18/03/2013,20,10.0,9.0,7.0,9.0,35.0,29.0
11/03/2013,19,9.0,35.0,5.0,7.0,20.0,29.0
04/03/2013,51,35.0,20.0,9.0,8.0,19.0,23.0
25/02/2013,53,20.0,19.0,7.0,11.0,51.0,46.0
18/02/2013,77,19.0,51.0,8.0,9.0,53.0,47.0
11/02/2013,62,51.0,53.0,11.0,12.0,77.0,71.0
04/02/2013,93,53.0,77.0,9.0,13.0,62.0,94.0
28/01/2013,78,77.0,62.0,12.0,31.0,93.0,127.0
21/01/2013,82,62.0,93.0,13.0,31.0,78.0,99.0
14/01/2013,84,93.0,78.0,31.0,35.0,82.0,103.0
07/01/2013,58,78.0,82.0,31.0,41.0,84.0,125.0
31/12/2012,114,82.0,84.0,35.0,35.0,58.0,68.0
24/12/2012,145,84.0,58.0,41.0,65.0,114.0,179.0
17/12/2012,93,58.0,114.0,35.0,59.0,145.0,205.0
