Date,BUDAPEST,BUDAPEST.L2,BUDAPEST.L6,BUDAPEST.L8,BUDAPEST.L12,CSONGRAD.L8,CSONGRAD.L10,CSONGRAD.L12,CSONGRAD.L13,GYOR.L1,GYOR.L2,GYOR.L4,GYOR.L6,GYOR.L9,GYOR.L11,GYOR.L16,HEVES.L4,NOGRAD.L5,NOGRAD.L11,PEST.L2,PEST.L13,SZABOLCS.L3,ZALA.L3,ZALA.L8,ZALA.L9,ZALA.L10,ZALA.L14,ZALA.L15
15/09/2014,113.0,129.0,127.0,119.0,122.0,65.0,65.0,34.0,39.0,111.0,91.0,92.0,107.0,175.0,181.0,120.0,41.0,10.0,26.0,144.0,107.0,92.0,38.0,42.0,54.0,70.0,44.0,26.0
08/09/2014,114.0,113.0,135.0,114.0,174.0,64.0,56.0,26.0,34.0,119.0,111.0,128.0,148.0,105.0,118.0,70.0,42.0,25.0,10.0,125.0,124.0,41.0,30.0,54.0,42.0,54.0,31.0,44.0
01/09/2014,98.0,114.0,116.0,127.0,153.0,81.0,65.0,65.0,26.0,131.0,119.0,91.0,92.0,154.0,175.0,84.0,35.0,6.0,21.0,138.0,146.0,49.0,22.0,43.0,54.0,42.0,60.0,31.0
25/08/2014,140.0,98.0,132.0,135.0,115.0,48.0,64.0,56.0,65.0,146.0,131.0,111.0,128.0,107.0,105.0,114.0,70.0,26.0,12.0,83.0,119.0,41.0,23.0,36.0,43.0,54.0,60.0,60.0
18/08/2014,120.0,140.0,129.0,116.0,119.0,48.0,81.0,65.0,56.0,123.0,146.0,119.0,91.0,148.0,154.0,131.0,50.0,7.0,6.0,159.0,178.0,29.0,32.0,36.0,36.0,43.0,70.0,60.0
11/08/2014,173.0,120.0,113.0,132.0,114.0,54.0,48.0,64.0,65.0,122.0,123.0,131.0,111.0,92.0,107.0,181.0,51.0,26.0,9.0,153.0,112.0,57.0,47.0,38.0,36.0,36.0,54.0,70.0
04/08/2014,135.0,173.0,114.0,129.0,127.0,41.0,48.0,81.0,64.0,123.0,122.0,146.0,119.0,128.0,148.0,118.0,104.0,27.0,10.0,137.0,130.0,36.0,21.0,30.0,38.0,36.0,42.0,54.0
28/07/2014,143.0,135.0,98.0,113.0,135.0,66.0,54.0,48.0,81.0,128.0,123.0,123.0,131.0,91.0,92.0,175.0,96.0,22.0,25.0,165.0,113.0,93.0,43.0,22.0,30.0,38.0,54.0,42.0
21/07/2014,139.0,143.0,140.0,114.0,116.0,48.0,41.0,48.0,48.0,79.0,128.0,122.0,146.0,111.0,128.0,105.0,104.0,52.0,6.0,145.0,141.0,19.0,34.0,23.0,22.0,30.0,43.0,54.0
14/07/2014,155.0,139.0,120.0,98.0,132.0,40.0,66.0,54.0,48.0,93.0,79.0,123.0,123.0,119.0,91.0,154.0,103.0,44.0,26.0,66.0,162.0,84.0,37.0,32.0,23.0,22.0,36.0,43.0
07/07/2014,98.0,155.0,173.0,140.0,129.0,51.0,48.0,41.0,54.0,62.0,93.0,128.0,122.0,131.0,111.0,107.0,62.0,55.0,7.0,117.0,121.0,14.0,47.0,47.0,32.0,23.0,36.0,36.0
30/06/2014,87.0,98.0,135.0,120.0,113.0,25.0,40.0,66.0,41.0,66.0,62.0,79.0,123.0,146.0,119.0,148.0,83.0,39.0,26.0,89.0,144.0,73.0,70.0,21.0,47.0,32.0,38.0,36.0
23/06/2014,110.0,87.0,143.0,173.0,114.0,37.0,51.0,48.0,66.0,41.0,66.0,93.0,128.0,123.0,131.0,92.0,47.0,29.0,27.0,91.0,125.0,60.0,18.0,43.0,21.0,47.0,30.0,38.0
