Date,BUDAPEST,GYOR.L1,NOGRAD.L4,TOLNA.L2,TOLNA.L3,TOLNA.L4,TOLNA.L5
15/09/2014,113.0,111.0,25.0,25.0,8.0,40.0,23.0
08/09/2014,114.0,119.0,6.0,13.0,25.0,8.0,40.0
01/09/2014,98.0,131.0,26.0,6.0,13.0,25.0,8.0
25/08/2014,140.0,146.0,7.0,2.0,6.0,13.0,25.0
18/08/2014,120.0,123.0,26.0,15.0,2.0,6.0,13.0
11/08/2014,173.0,122.0,27.0,28.0,15.0,2.0,6.0
04/08/2014,135.0,123.0,22.0,28.0,28.0,15.0,2.0
28/07/2014,143.0,128.0,52.0,33.0,28.0,28.0,15.0
21/07/2014,139.0,79.0,44.0,46.0,33.0,28.0,28.0
14/07/2014,155.0,93.0,55.0,23.0,46.0,33.0,28.0
07/07/2014,98.0,62.0,39.0,21.0,23.0,46.0,33.0
30/06/2014,87.0,66.0,29.0,22.0,21.0,23.0,46.0
23/06/2014,110.0,41.0,30.0,12.0,22.0,21.0,23.0
16/06/2014,70.0,35.0,10.0,8.0,12.0,22.0,21.0
09/06/2014,43.0,16.0,10.0,11.0,8.0,12.0,22.0
02/06/2014,37.0,9.0,12.0,8.0,11.0,8.0,12.0
26/05/2014,30.0,1.0,7.0,4.0,8.0,11.0,8.0
19/05/2014,21.0,12.0,2.0,3.0,4.0,8.0,11.0
12/05/2014,22.0,8.0,2.0,2.0,3.0,4.0,8.0
05/05/2014,15.0,7.0,5.0,2.0,2.0,3.0,4.0
28/04/2014,11.0,6.0,2.0,1.0,2.0,2.0,3.0
21/04/2014,7.0,2.0,0.0,2.0,1.0,2.0,2.0
14/04/2014,12.0,1.0,0.0,2.0,2.0,1.0,2.0
07/04/2014,5.0,2.0,3.0,6.0,2.0,2.0,1.0
31/03/2014,17.0,1.0,6.0,5.0,6.0,2.0,2.0
24/03/2014,11.0,5.0,4.0,1.0,5.0,6.0,2.0
17/03/2014,27.0,6.0,0.0,3.0,1.0,5.0,6.0
10/03/2014,23.0,8.0,4.0,5.0,3.0,1.0,5.0
03/03/2014,30.0,18.0,8.0,10.0,5.0,3.0,1.0
24/02/2014,48.0,20.0,15.0,7.0,10.0,5.0,3.0
17/02/2014,37.0,19.0,15.0,25.0,7.0,10.0,5.0
10/02/2014,32.0,27.0,13.0,16.0,25.0,7.0,10.0
03/02/2014,49.0,27.0,26.0,22.0,16.0,25.0,7.0
27/01/2014,67.0,34.0,10.0,10.0,22.0,16.0,25.0
20/01/2014,106.0,38.0,21.0,32.0,10.0,22.0,16.0
13/01/2014,83.0,25.0,39.0,35.0,32.0,10.0,22.0
06/01/2014,114.0,35.0,17.0,77.0,35.0,32.0,10.0
30/12/2013,129.0,47.0,28.0,57.0,77.0,35.0,32.0
23/12/2013,189.0,31.0,7.0,71.0,57.0,77.0,35.0
16/12/2013,79.0,28.0,44.0,53.0,71.0,57.0,77.0
09/12/2013,163.0,22.0,51.0,37.0,53.0,71.0,57.0
02/12/2013,110.0,35.0,48.0,53.0,37.0,53.0,71.0
25/11/2013,158.0,42.0,23.0,51.0,53.0,37.0,53.0
18/11/2013,182.0,59.0,53.0,48.0,51.0,53.0,37.0
11/11/2013,136.0,60.0,39.0,93.0,48.0,51.0,53.0
04/11/2013,207.0,82.0,33.0,66.0,93.0,48.0,51.0
28/10/2013,251.0,78.0,23.0,55.0,66.0,93.0,48.0
21/10/2013,141.0,33.0,24.0,66.0,55.0,66.0,93.0
14/10/2013,193.0,87.0,45.0,47.0,66.0,55.0,66.0
07/10/2013,169.0,49.0,39.0,96.0,47.0,66.0,55.0
30/09/2013,141.0,59.0,47.0,85.0,96.0,47.0,66.0
23/09/2013,193.0,52.0,52.0,73.0,85.0,96.0,47.0
16/09/2013,359.0,71.0,49.0,86.0,73.0,85.0,96.0
09/09/2013,268.0,76.0,53.0,58.0,86.0,73.0,85.0
02/09/2013,168.0,65.0,37.0,82.0,58.0,86.0,73.0
26/08/2013,338.0,68.0,40.0,58.0,82.0,58.0,86.0
19/08/2013,186.0,54.0,37.0,85.0,58.0,82.0,58.0
12/08/2013,266.0,69.0,32.0,62.0,85.0,58.0,82.0
05/08/2013,240.0,51.0,50.0,92.0,62.0,85.0,58.0
29/07/2013,162.0,85.0,22.0,58.0,92.0,62.0,85.0
22/07/2013,264.0,70.0,58.0,51.0,58.0,92.0,62.0
15/07/2013,133.0,66.0,31.0,25.0,51.0,58.0,92.0
08/07/2013,201.0,63.0,30.0,118.0,25.0,51.0,58.0
01/07/2013,236.0,118.0,57.0,84.0,118.0,25.0,51.0
24/06/2013,111.0,24.0,50.0,26.0,84.0,118.0,25.0
17/06/2013,76.0,29.0,27.0,11.0,26.0,84.0,118.0
10/06/2013,52.0,23.0,14.0,23.0,11.0,26.0,84.0
03/06/2013,30.0,12.0,5.0,9.0,23.0,11.0,26.0
27/05/2013,30.0,4.0,7.0,5.0,9.0,23.0,11.0
20/05/2013,74.0,2.0,4.0,5.0,5.0,9.0,23.0
13/05/2013,45.0,2.0,5.0,0.0,5.0,5.0,9.0
06/05/2013,41.0,2.0,3.0,0.0,0.0,5.0,5.0
29/04/2013,20.0,1.0,1.0,0.0,0.0,0.0,5.0
22/04/2013,15.0,1.0,0.0,1.0,0.0,0.0,0.0
15/04/2013,11.0,3.0,2.0,0.0,1.0,0.0,0.0
08/04/2013,10.0,7.0,2.0,1.0,0.0,1.0,0.0
01/04/2013,9.0,5.0,2.0,3.0,1.0,0.0,1.0
25/03/2013,35.0,9.0,2.0,2.0,3.0,1.0,0.0
18/03/2013,20.0,7.0,9.0,5.0,2.0,3.0,1.0
11/03/2013,19.0,8.0,12.0,2.0,5.0,2.0,3.0
04/03/2013,51.0,11.0,19.0,0.0,2.0,5.0,2.0
25/02/2013,53.0,9.0,4.0,1.0,0.0,2.0,5.0
18/02/2013,77.0,12.0,17.0,1.0,1.0,0.0,2.0
11/02/2013,62.0,13.0,7.0,4.0,1.0,1.0,0.0
04/02/2013,93.0,31.0,15.0,8.0,4.0,1.0,1.0
28/01/2013,78.0,31.0,18.0,10.0,8.0,4.0,1.0
21/01/2013,82.0,35.0,62.0,7.0,10.0,8.0,4.0
14/01/2013,84.0,41.0,41.0,11.0,7.0,10.0,8.0
07/01/2013,58.0,35.0,59.0,18.0,11.0,7.0,10.0
31/12/2012,114.0,65.0,8.0,13.0,18.0,11.0,7.0
24/12/2012,145.0,59.0,46.0,17.0,13.0,18.0,11.0
17/12/2012,93.0,56.0,1.0,17.0,17.0,13.0,18.0
10/12/2012,129.0,67.0,30.0,12.0,17.0,17.0,13.0
03/12/2012,114.0,66.0,106.0,36.0,12.0,17.0,17.0
26/11/2012,86.0,58.0,56.0,14.0,36.0,12.0,17.0
19/11/2012,127.0,74.0,64.0,37.0,14.0,36.0,12.0
12/11/2012,106.0,87.0,46.0,29.0,37.0,14.0,36.0
05/11/2012,211.0,71.0,36.0,39.0,29.0,37.0,14.0
29/10/2012,229.0,116.0,60.0,23.0,39.0,29.0,37.0
22/10/2012,145.0,63.0,96.0,36.0,23.0,39.0,29.0
