Ranking,% of Features Dropped,LinearRegression,RandomForestRegressor,XGBRegressor,LGBMRegressor
1,N/A,KOMAROM.L1,PEST.L1,BUDAPEST.L3,BUDAPEST.L2
2,96.42857142857143,GYOR.L1,BUDAPEST.L1,GYOR.L3,BUDAPEST.L4
3,92.85714285714286,BARANYA.L1,GYOR.L1,BUDAPEST.L2,BUDAPEST.L3
4,89.28571428571429,SOMOGY.L1,GYOR.L3,BUDAPEST.L4,BUDAPEST.L5
5,85.71428571428572,PEST.L1,BUDAPEST.L2,BUDAPEST.L5,BUDAPEST.L6
6,82.14285714285714,VESZPREM.L1,BUDAPEST.L3,BUDAPEST.L6,BUDAPEST.L7
7,78.57142857142857,GYOR.L3,BUDAPEST.L4,BUDAPEST.L7,BUDAPEST.L8
8,75.0,KOMAROM.L5,BUDAPEST.L5,BUDAPEST.L9,BUDAPEST.L1
9,71.42857142857143,CSONGRAD.L1,BUDAPEST.L6,BUDAPEST.L10,BUDAPEST.L9
10,67.85714285714286,BUDAPEST.L1,BUDAPEST.L7,BUDAPEST.L11,BUDAPEST.L10
11,64.28571428571428,BUDAPEST.L3,BUDAPEST.L8,BUDAPEST.L12,BUDAPEST.L11
12,60.714285714285715,BUDAPEST.L5,BUDAPEST.L9,BUDAPEST.L8,BUDAPEST.L14
13,57.142857142857146,BUDAPEST.L4,BUDAPEST.L10,SOMOGY.L1,BUDAPEST.L12
14,53.57142857142857,BUDAPEST.L6,BUDAPEST.L11,BUDAPEST.L1,GYOR.L3
15,50.0,BUDAPEST.L7,BUDAPEST.L12,VESZPREM.L1,SZABOLCS.L1
16,46.42857142857143,BUDAPEST.L8,BUDAPEST.L13,PEST.L1,GYOR.L1
17,42.85714285714286,BUDAPEST.L9,BUDAPEST.L14,GYOR.L1,PEST.L1
18,39.28571428571429,BUDAPEST.L10,SOMOGY.L1,FEJER.L1,FEJER.L1
19,35.71428571428571,BUDAPEST.L11,VESZPREM.L1,BACS.L1,BUDAPEST.L13
20,32.14285714285714,BUDAPEST.L12,FEJER.L1,KOMAROM.L1,JASZ.L1
21,28.57142857142857,BUDAPEST.L13,BARANYA.L1,BARANYA.L1,BARANYA.L1
22,25.0,BUDAPEST.L14,KOMAROM.L1,CSONGRAD.L1,BACS.L1
23,21.42857142857143,SZABOLCS.L1,BACS.L1,VAS.L1,VAS.L1
24,17.85714285714286,FEJER.L1,JASZ.L1,KOMAROM.L5,CSONGRAD.L1
25,14.285714285714292,BACS.L1,CSONGRAD.L1,BUDAPEST.L13,KOMAROM.L1
26,10.714285714285708,JASZ.L1,VAS.L1,BUDAPEST.L14,KOMAROM.L5
27,7.142857142857139,BUDAPEST.L2,KOMAROM.L5,JASZ.L1,VESZPREM.L1
28,3.5714285714285694,VAS.L1,SZABOLCS.L1,SZABOLCS.L1,SOMOGY.L1
