Causality,RFE,BE,FC
BUDAPEST.L1,BUDAPEST.L2,BUDAPEST.L2,VESZPREM.L2
BUDAPEST.L2,BARANYA.L3,BUDAPEST.L6,BUDAPEST.L1
BUDAPEST.L3,CSONGRAD.L3,BUDAPEST.L8,BUDAPEST.L2
BUDAPEST.L4,CSONGRAD.L8,BUDAPEST.L12,BUDAPEST.L3
BUDAPEST.L5,GYOR.L1,CSONGRAD.L8,PEST.L2
BUDAPEST.L6,GYOR.L9,CSONGRAD.L10,PEST.L1
BUDAPEST.L7,GYOR.L12,CSONGRAD.L12,GYOR.L2
BUDAPEST.L8,HAJDU.L8,CSONGRAD.L13,BORSOD.L1
BUDAPEST.L9,HEVES.L5,GYOR.L1,SOMOGY.L2
BUDAPEST.L10,HEVES.L7,GYOR.L2,GYOR.L1
BUDAPEST.L11,JASZ.L1,GYOR.L4,TOLNA.L2
BUDAPEST.L12,KOMAROM.L10,GYOR.L6,BACS.L1
BUDAPEST.L13,KOMAROM.L11,GYOR.L9,VESZPREM.L3
BUDAPEST.L14,NOGRAD.L2,GYOR.L11,CSONGRAD.L1
BARANYA.L1,NOGRAD.L5,GYOR.L16,GYOR.L3
BACS.L1,NOGRAD.L9,HEVES.L4,VESZPREM.L4
CSONGRAD.L1,SOMOGY.L5,NOGRAD.L5,SOMOGY.L3
FEJER.L1,SOMOGY.L10,NOGRAD.L11,JASZ.L2
GYOR.L1,SOMOGY.L11,PEST.L2,VESZPREM.L1
GYOR.L3,TOLNA.L3,PEST.L13,CSONGRAD.L2
JASZ.L1,TOLNA.L4,SZABOLCS.L3,BACS.L2
KOMAROM.L1,TOLNA.L7,ZALA.L3,JASZ.L1
KOMAROM.L5,ZALA.L1,ZALA.L8,BARANYA.L1
PEST.L1,ZALA.L3,ZALA.L9,KOMAROM.L1
SOMOGY.L1,ZALA.L9,ZALA.L10,PEST.L3
SZABOLCS.L1,ZALA.L10,ZALA.L14,FEJER.L1
VAS.L1,ZALA.L14,ZALA.L15,JASZ.L3
VESZPREM.L1,ZALA.L15,,SOMOGY.L1
