Causality,RFE,BE,FC
BUDAPEST.L1,CSONGRAD.L2,BUDAPEST.L2,VESZPREM.L2
BUDAPEST.L2,CSONGRAD.L3,BUDAPEST.L6,BUDAPEST.L1
BUDAPEST.L3,CSONGRAD.L8,BUDAPEST.L8,BUDAPEST.L2
BUDAPEST.L4,FEJER.L10,BUDAPEST.L12,BUDAPEST.L3
BUDAPEST.L5,GYOR.L1,CSONGRAD.L8,PEST.L2
BUDAPEST.L6,GYOR.L4,CSONGRAD.L10,PEST.L1
BUDAPEST.L7,GYOR.L8,CSONGRAD.L12,GYOR.L2
BUDAPEST.L8,HEVES.L3,CSONGRAD.L13,BORSOD.L1
BUDAPEST.L9,HEVES.L5,GYOR.L1,SOMOGY.L2
BUDAPEST.L10,HEVES.L8,GYOR.L2,GYOR.L1
BUDAPEST.L11,JASZ.L6,GYOR.L4,TOLNA.L2
BUDAPEST.L12,KOMAROM.L10,GYOR.L6,BACS.L1
BUDAPEST.L13,KOMAROM.L14,GYOR.L9,VESZPREM.L3
BUDAPEST.L14,NOGRAD.L2,GYOR.L11,CSONGRAD.L1
BARANYA.L1,NOGRAD.L4,GYOR.L16,GYOR.L3
BACS.L1,NOGRAD.L11,HEVES.L4,VESZPREM.L4
CSONGRAD.L1,PEST.L1,NOGRAD.L5,SOMOGY.L3
FEJER.L1,SOMOGY.L5,NOGRAD.L11,JASZ.L2
GYOR.L1,SOMOGY.L15,PEST.L2,VESZPREM.L1
GYOR.L3,TOLNA.L3,PEST.L13,CSONGRAD.L2
JASZ.L1,TOLNA.L4,SZABOLCS.L3,BACS.L2
KOMAROM.L1,TOLNA.L7,ZALA.L3,JASZ.L1
KOMAROM.L5,VAS.L16,ZALA.L8,BARANYA.L1
PEST.L1,ZALA.L3,ZALA.L9,KOMAROM.L1
SOMOGY.L1,ZALA.L4,ZALA.L10,PEST.L3
SZABOLCS.L1,ZALA.L6,ZALA.L14,FEJER.L1
VAS.L1,ZALA.L9,ZALA.L15,JASZ.L3
VESZPREM.L1,ZALA.L14,,SOMOGY.L1
