Date,Close,Adj. Close,P/E (LTM),EPS - Est High (NTM),EPS - Est Low (NTM),Volume,SI (%),Vol,# Buys,# Sell,# Hold,Total Rec,% Buy,% Sell,% Hold,Rating,Mkt Cap,EPS - Est Avg (NTM),std_5days,std_10days,std_15days
1/9/2003,27.905,17.58062673,35.99446894,1.08,0.9,62048642,0.953692248,0.307837377,14,0,5,19,0.736842105,0,0.263157895,4.3,298385.3674,21.45,0.428406933,0.576077734,1.002575255
1/10/2003,27.96,17.61527767,36.06541306,1.08,0.9,67985474,0.953692248,0.306802568,13,0,5,18,0.722222222,0,0.277777778,4.27586,298973.4768,21.32,0.455595764,0.499051601,1.002575255
1/13/2003,28.195,17.76333168,36.36853796,1.08,0.9,61040600,0.953692248,0.30553128,13,0,5,18,0.722222222,0,0.277777778,4.26667,301486.3083,22.04,0.379034959,0.781113166,1.002575255
1/14/2003,28.485,17.94603663,36.74260698,1.08,0.915,54441838,0.953692248,0.304476016,13,0,5,18,0.722222222,0,0.277777778,4.26667,304587.2492,22.74,0.407360406,1.003436318,1.002575255
1/15/2003,28.135,17.72553066,36.29114437,1.08,0.915,59999384,0.953692248,0.284455255,13,0,6,19,0.684210526,0,0.315789474,4.22581,300844.7343,22.27,0.508878669,1.165025512,1.002575255
1/16/2003,27.675,17.4357228,37.38627076,1.13,0.95,83405140,0.953692248,0.264206851,13,0,6,19,0.684210526,0,0.315789474,4.22581,296177.85,21.8,0.228921384,1.216061036,1.002575255
1/17/2003,25.73,16.21033957,34.7587623,1.085,0.955,156119200,0.953692248,0.367424922,13,0,6,19,0.684210526,0,0.315789474,4.22581,275362.46,21.4,0.29924906,1.363664996,1.002575255
1/21/2003,25.665,16.16938846,34.67095354,1.085,0.95,86413480,0.953692248,0.364479666,13,0,6,19,0.684210526,0,0.315789474,4.22581,274666.83,21.08,1.108638805,1.469487912,1.002575255
1/22/2003,25.5,16.06543564,34.44805436,1.085,0.95,87486264,0.953692248,0.364223058,13,0,6,19,0.684210526,0,0.315789474,4.21875,272901,21.17,1.346196494,1.472846828,1.002575255
1/23/2003,26.14,16.46864657,35.31263298,1.085,0.95,71629620,0.953692248,0.375818817,13,0,6,19,0.684210526,0,0.315789474,4.21875,279750.28,21.79,1.25852791,1.250631396,1.002575255
1/24/2003,24.925,15.70317582,33.67128451,1.085,0.95,103436814,0.953692248,0.402513262,13,0,6,19,0.684210526,0,0.315789474,4.21875,266747.35,22.11,0.88875334,1.033334543,1.002575255
1/27/2003,24.585,15.48897001,33.21197712,1.075,0.95,115186480,0.953692248,0.403968449,12,0,6,18,0.666666667,0,0.333333333,4.19355,263108.67,21.78,0.441030044,0.777048547,1.157784522
1/28/2003,24.41,15.37871702,32.9755689,1.075,0.95,86413978,0.953692248,0.403875883,12,0,6,18,0.666666667,0,0.333333333,4.19355,261235.82,21.62,0.614579124,0.75571085,1.32075168
1/29/2003,24.955,15.72207633,33.71181163,1.075,0.95,107226456,0.953692248,0.413706762,12,0,6,18,0.666666667,0,0.333333333,4.19355,267068.41,22.08,0.7093712,0.775569504,1.456975177
1/30/2003,24.12,15.19601206,32.58380671,1.075,0.95,88387880,0.953692248,0.427621884,12,0,6,18,0.666666667,0,0.333333333,4.19355,258132.24,21.82,0.67593084,0.786917509,1.480321957
1/31/2003,23.73,14.9503054,32.05695412,1.075,0.95,107182960,0.953692248,0.426045199,12,0,6,18,0.666666667,0,0.333333333,4.19355,253943.8732,21.85,0.352976628,0.534339935,1.588191769
2/3/2003,24.28,15.2968148,32.79995137,1.075,0.95,80820520,0.953692248,0.409749496,12,0,6,18,0.666666667,0,0.333333333,4.19355,259829.6351,22.16,0.464125522,0.533063473,1.65001645
2/4/2003,23.66,14.90620421,31.96239083,1.075,0.95,82124480,0.953692248,0.415413881,11,0,6,17,0.647058824,0,0.352941176,4.16667,253194.7762,22.05,0.446883654,0.502279526,1.613177285
2/5/2003,23.48,14.79280113,31.71922809,1.075,0.95,101376740,0.953692248,0.406016093,11,0,6,17,0.647058824,0,0.352941176,4.16667,251268.5269,22.17,0.520173048,0.517322433,1.549679076
2/6/2003,23.71,14.93770506,32.02993603,1.075,0.95,83617960,0.953692248,0.399981522,11,0,6,17,0.647058824,0,0.352941176,4.16667,253729.8455,22.09,0.33358657,0.358515458,1.383170358
2/7/2003,23.29,14.67309788,31.46255632,1.075,0.95,75852120,0.953692248,0.394791749,11,0,6,17,0.647058824,0,0.352941176,4.16667,249235.2637,21.44,0.300616034,0.317693511,1.149187394
2/10/2003,23.69,14.92510472,32.00291795,1.075,0.95,74333418,0.953692248,0.383502025,10,0,6,16,0.625,0,0.375,4.13793,253515.8178,21.4,0.371927412,0.364420773,0.908364831
2/11/2003,23.22,14.62899669,31.36799303,1.075,0.95,84596680,0.953692248,0.384017412,10,0,6,16,0.625,0,0.375,4.13793,248486.1667,20.78,0.179248431,0.528063811,0.870241893
2/12/2003,23.22,14.62899669,31.36799303,1.075,0.95,71576300,0.953692248,0.380366868,10,0,6,16,0.625,0,0.375,4.13793,248486.1667,21.13,0.223986607,0.590952386,0.846917661
2/13/2003,23.495,14.80225139,31.73949165,1.075,0.95,73839528,0.953692248,0.381396968,10,0,6,16,0.625,0,0.375,4.13793,251429.0477,20.06,0.251853132,0.591833545,0.80962484
2/14/2003,24.15,15.21491258,32.62433384,1.09,0.95,90770856,0.953692248,0.401650224,10,0,6,16,0.625,0,0.375,4.13333,258438.455,20.06,0.205292474,0.636370132,0.590698134
2/18/2003,24.96,15.72522641,33.71856615,1.09,0.95,57543700,0.953692248,0.423333176,10,0,6,16,0.625,0,0.375,4.13333,267106.5771,21.39,0.387395147,0.595494426,0.52676054
